action,broker_write_used,fast_average,index,order_created,price,slow_average,timestamp
BUY_PREVIEW,False,114.4000,19,False,116.0,108.4000,2026-02-20
HOLD,False,115.2000,20,False,116.8,109.2000,2026-02-21
HOLD,False,116.0000,21,False,117.6,110.0000,2026-02-22
HOLD,False,116.8000,22,False,118.4,110.8000,2026-02-23
HOLD,False,117.6000,23,False,119.2,111.6000,2026-02-24
HOLD,False,118.4000,24,False,120.0,112.4000,2026-02-25
HOLD,False,118.9800,25,False,119.7,113.1450,2026-02-26
HOLD,False,119.3400,26,False,119.4,113.8350,2026-02-27
HOLD,False,119.4800,27,False,119.1,114.4700,2026-02-28
HOLD,False,119.4000,28,False,118.8,115.0500,2026-02-29
HOLD,False,119.1000,29,False,118.5,115.5750,2026-02-30
HOLD,False,118.8000,30,False,118.2,116.0450,2026-02-31
HOLD,False,118.5000,31,False,117.9,116.4600,2026-02-32
HOLD,False,118.2000,32,False,117.6,116.8200,2026-02-33
HOLD,False,117.9000,33,False,117.3,117.1250,2026-02-34
HOLD,False,117.6000,34,False,117.0,117.3750,2026-02-35
SELL_PREVIEW,False,117.3000,35,False,116.7,117.5700,2026-02-36
HOLD,False,117.0000,36,False,116.4,117.7100,2026-02-37
HOLD,False,116.7000,37,False,116.1,117.7950,2026-02-38
HOLD,False,116.4000,38,False,115.8,117.8250,2026-02-39
HOLD,False,116.1000,39,False,115.5,117.8000,2026-02-40
